term	pos	meaning
arts	n.	文科；艺术学科
accountancy	n.	会计学；会计工作
welcome package	n. phr.	迎新资料包
resit	v. / n.	补考；重考
parental teaching	n. phr.	父母的教导；家庭教育
take regular exercise	v. phr.	经常锻炼
make plans	v. phr.	制定计划
set money aside	v. phr.	留出钱；存钱备用
do training courses	v. phr.	参加培训课程
open admission	n. phr.	开放入学；无严格筛选的入学制度
senior advisor	n. phr.	高级顾问
well-organized	adj.	组织有序的；条理清楚的
subtopics	n. pl.	子主题；分论题
case study	n. phr.	案例研究
whiteboard	n.	白板
overdue and pay a fine	phr.	逾期并缴纳罚款（图书借阅语境）
out on load	phr.	原词表疑似误拼；若指 out on loan，意思是“已借出”。保留原题拼写，待核对。
closed reserve	n. phr.	限制借阅的保留书籍；闭架保留书库
interlibrary service	n. phr.	图书馆之间的互借服务
open shelves	n. phr.	开架书架；可自行取阅的书架
close shelves	n. phr.	原词表写法；图书馆语境疑指 closed shelves：闭架书库，需由工作人员取书。
check out	v. phr.	办理借出；退房；查看
delivery desk	n. phr.	交付柜台；图书借还服务台
internet system	n. phr.	互联网系统
card index	n. phr.	卡片索引
freshman	n.	一年级新生
sophomore	n.	二年级学生
day pupil	n. phr.	走读生
newsletters	n. pl.	简讯；通讯刊物
baked earth	n. phr.	烧制的泥土；陶土
laptop	n.	笔记本电脑
noticeboard	n.	布告栏；公告板
keyword	n.	关键词
learning styles	n. phr.	学习方式
university facilities	n. phr.	大学设施
social activities	n. phr.	社交活动
headphones	n. pl.	耳机
special audio equipment	n. phr.	专用音频设备
in advance	adv. phr.	提前；预先
on sale	phr.	出售中；特价销售
australian dollars	n. phr.	澳大利亚元；澳元
low income	n. phr.	低收入
hiking	n.	徒步旅行；远足
bag-packer	n.	原词表疑似误拼；若指 backpacker，意思是“背包客”。保留原题拼写，待核对。
special party hats	n. phr.	特别的派对帽
lookout points	n. phr.	观景点；瞭望点
the old	n. phr.	老年人（the + 形容词表示一类人）
shopper	n.	购物者
japanese pagoda	n. phr.	日本式宝塔
poor area	n. phr.	贫困地区
manmade dam	n. phr.	人造水坝
wretched boat	n. phr.	破旧不堪的船；糟糕的船
queen's	poss.	女王的；王后的（所有格）
arm badge	n. phr.	臂章
concert hall	n. phr.	音乐厅
greyhound	n.	灵缇犬（一种猎犬）
standard suite	n. phr.	标准套房
residential collage	n. phr.	原词表疑似误拼；若指 residential college，意思是“住宿制学院”。collage 本身意为“拼贴画”。
shared	adj. / v.	共用的；共享的；share 的过去式和过去分词
hoover	n. / v.	吸尘器；用吸尘器清扫
water heater	n. phr.	热水器
microwave oven	n. phr.	微波炉
washing machine	n. phr.	洗衣机
electric fan	n. phr.	电风扇
toaster	n.	烤面包机
pre-booking	n.	提前预订
smoke alarms	n. phr.	烟雾报警器
bedsheet	n.	床单
large-scale housing	n. phr.	大规模住宅建设；大型住宅项目
twin room	n. phr.	双床房
drinks and snacks	n. phr.	饮料和零食
eating	n. / v.	进食；吃（eat 的现在分词）
hot dog	n. phr.	热狗
low nutrition	n. phr.	营养价值低；低营养
ballon	n.	原词表拼写待核对：ballon 可指芭蕾舞中的轻盈弹跳；若指“气球”，应拼作 balloon。
dress code	n. phr.	着装规范
spare socks	n. phr.	备用袜子
koala	n.	考拉；树袋熊
mane	n.	鬃毛
horse hair	n. phr.	马毛
hard-hoofed	adj.	有坚硬蹄子的
eye drops	n. phr.	滴眼液；眼药水
painkillers	n. pl.	止痛药
sore throat	n. phr.	喉咙痛
stiff neck	n. phr.	颈部僵硬；落枕
stuffed nose	n. phr.	鼻塞
heart disease	n. phr.	心脏病
pneumonia	n.	肺炎
yellow fever	n. phr.	黄热病
oculist	n.	眼科医生
take one's temperature	v. phr.	给某人量体温
